date,text
2020-02-01,"Once Skeptical, Senate Republicans Are All In on Trump - In pressing toward their preordained vote of acquittal, Senate Republicans made it clear they see their fortunes and futures intertwined with the president’s."
2020-08-18,"As D.N.C. Unfolds, Trump Reprises Grimmest Language of 2016 Campaign - Speaking in the border city of Yuma, Ariz., President Trump boasted about his own efforts to sharply limit immigration during his time in office."
2020-10-23,"Trump Tried to Blur Responsibility for His Family Separation Policy in Final Debate - President Trump repeatedly hurled the phrase “They built the cages” at his debate opponent Thursday, but separating children from parents was a policy all his own."
2020-04-22,Vaccine Chief Says He Was Removed After Questioning Drug Trump Promoted - The first known U.S. death from the illness came in early February in California. Trump says he ‘strongly’ disagrees with Georgia’s governor on reopening some businesses.
2020-10-05,"After Trump said he ‘learned a lot about Covid,’ his trip outside the hospital suggested otherwise. - The White House press secretary, Kayleigh McEnany, is one of the latest members of the president’s circle to test positive."
2020-03-12,"In Rare Oval Office Speech, Trump Voices New Concerns and Old Themes - He described the dangers of “a horrible infection” during an address whose inaccuracies required immediate clarification."
2020-09-25,"Trump will campaign in Florida, Georgia and Virginia today, as Biden pays his respects to Ginsburg. - Here are the daily schedules of the presidential and vice-presidential candidates for Friday, Sept. 25. All times are Eastern time."
2020-01-27,"Trump Denies Telling Bolton That Ukraine’s Aid Depended on Biden Investigations - Hours after an article described an unpublished manuscript by his former national security adviser, President Trump rejected John Bolton’s account."
2020-07-01,"Tell-All Book on Trump Can Move Forward Pending Hearing, Judge Rules - The decision reversed a lower court’s ruling that had temporarily halted publication of the book by the president’s niece, but it didn’t address whether she violated a confidentiality agreement."
2020-06-20,What to Watch For at Trump’s Tulsa Campaign Rally - Will the thousands of Trump supporters wear masks? What time is the rally? How will President Trump talk about race? What protests will he face? Here’s what you need to know.
2020-09-30,Trump’s top intelligence official releases unverified and previously rejected Russia information. - President Trump’s top intelligence official on Tuesday released unverified information about the 2016 campaign that appeared to be a bid to help Mr. Trump politically and was said to be disclosed over the objections of career intelligence officials who were concerned that the material could be Russian disinformation.
2020-05-22,"How the Trump Effect Could Lift Democratic Senate Candidates - Republican incumbents in swing states have struggled to disentangle themselves from President Trump, whose voters are loyal but represent a minority of the electorate."
2020-08-03,"Attacking Mail-In Voting, Trump Suggests Rerunning a New York Race - Former President Barack Obama endorsed 118 candidates, hoping to tip the scales in key battlegrounds. Primary races in several states on Tuesday have the attention of national party leaders."
2020-05-29,"Rebuking China, Trump Curtails Ties to Hong Kong and Severs Them With W.H.O. - Critics say the actions would do little to blunt China’s influence and could ultimately hurt the U.S. and others."
2020-10-02,"In Pictures: Trump’s Busy Week Before Testing Positive - President Trump revealed early Friday  that he had tested positive for coronavirus. Over the past week, he interacted with scores of staff members, donors and supporters."
2020-01-16,"Democratic Attorneys General Sue to Block Trump Food Stamp Cuts - Fourteen states, New York City and the District of Columbia asked the courts to block the Trump administration from imposing tougher work requirements on food stamp recipients."
2020-04-18,A Key G.O.P. Strategy: Blame China. But Trump Goes Off Message. - Republicans increasingly believe that elevating China’s culpability for spreading the coronavirus may be the best way to improve their difficult election chances. The president is muddying the message.
2020-08-27,"No Bushes, Reagans, Cheneys or McCains: Who Is Missing at Trump’s R.N.C. - The old guard that led the Republican Party from 1980 until 2016 has been conspicuously absent from this year’s convention, representing the final signature on the party’s bitter divorce."
2020-04-29,"Trump and Kushner Engage in Revisionist History in Boasting of Success Over Virus - “We did all the right moves,” the president said Wednesday. “The federal government rose to the challenge, and this is a great success story,” said his son-in-law."
2020-06-28,Trump Faces Mounting Defections From a Once-Loyal Group: Older White Voters - No Democrat has won or broken even with voters over 65 in two decades. But seniors’ dismay about President Trump could change that.
2020-01-11,"Seven Days in January: How Trump Pushed U.S. and Iran to the Brink of War - The story of that week, and the secret planning in the months preceding it, ranks as the most perilous chapter so far in President Trump’s three years in office."
2020-02-06,Trump Lashes Out at Impeachment Foes and Pelosi Hits Back - The president denounced the “corrupt people” who pushed for his impeachment. Speaker Nancy Pelosi said the president seemed “a little sedated” during his State of the Union address.
2020-05-01,An Accidental Navy Chief Steers His Service Through a Storm - Adm. Michael M. Gilday appears determined that his recommendations on the Roosevelt case will be made based on Navy principles and not on fears of what the White House might want.
2020-03-25,"Trump Wants U.S. ‘Opened Up’ by Easter, Despite Health Officials’ Warnings - “You can’t just come in and say let’s close up the United States of America,” the president said, insisting again that he did not view the coronavirus as any more dangerous than the flu."
2020-09-30,"Both Parties Fret as More Democrats Request Mail Ballots in Key States - Republicans fear that President Trump’s messaging on voting by mail could depress turnout. But Democrats worry an overreliance on the mail could be damaging to their side, too."
2020-03-11,"Trump Endorses Tommy Tuberville (and Not Jeff Sessions) for Senate in Alabama - President Trump, in a tweet Tuesday night, expressed his full-throated endorsement of the man running against his former attorney general in a runoff election for the state’s primary."
2020-10-13,"Supreme Court Rules That Census Count Can Be Cut Short - After extending the deadline to count every person in America, a process complicated by the coronavirus pandemic, the Trump administration reversed course. Critics saw a political motive."
2020-03-13,"Trump Won’t Be Getting a Coronavirus Test, His Doctor Says - The statement from President Trump’s physician came just hours after Mr. Trump himself said he would be tested “fairly soon.”"
2020-02-09,Trump to Propose $4.8 Trillion Budget With More Border Wall Funding - The president’s final budget proposal of his term will offer a blueprint for his priorities if he wins re-election.
2020-05-29,"What Trump, Biden and Obama Said About the Death of George Floyd - Both President Trump and Joseph R. Biden Jr. have called for justice for Mr. Floyd. Mr. Trump has also called protesters “thugs,” and Mr. Biden has blamed him for “incendiary tweets.”"
2020-08-29,Trump’s Strategy: Make ‘Wobbly Republicans’ Think Their Party Is Great Again - The Trump campaign wants to lure back moderates who believe that the president has lurched too far right and openly courted extremists.
2020-08-03,"These Conservatives Have a Laser Focus: ‘Owning the Libs’ - On The Federalist and in Fox News appearances, some of President Trump’s supporters don’t really defend him. They attack the critics."
2020-06-24,"Madison Cawthorn, 24, Upsets Trump-Endorsed Favorite in North Carolina - Mr. Cawthorn’s victory in the G.O.P. primary for a House seat formerly held by Mark Meadows, the White House chief of staff, was an upset for his handpicked successor, who had the president’s backing."
2020-10-25,"In Miami-Dade County, Younger Cuban Voters Offer Opening for Trump - Newer Cuban immigrants who previously had little engagement in American politics have started to identify as Trump Republicans. It could give the president a boost in a critical swing state."
2020-01-12,"Trump’s Impeachment Team Takes Shape as Trial Looms - The basic configuration of the president’s defense team has been established, but other aspects have yet to be determined."
2020-02-06,"After Acquittal, Trump Repeats Inaccurate Claims on Impeachment and Ukraine - We checked misleading statements that President Trump made about his trial, his political enemies and his own record."
2020-06-20,"Judge Rejects Trump Request for Order Blocking Bolton’s Memoir - But the judge also sharply criticized the former national security adviser, suggesting his $2 million book advance may be in jeopardy."
2020-10-20,"Trump describes hypothetical quid pro quo with Exxon. Exxon says: ‘It never happened.’ - Shortly after President Trump said at a campaign rally that he could, hypothetically, call up the chief executive of Exxon Mobil and ask for a campaign contribution in return for granting political favors, the company took to Twitter to say that no such call had ever taken place."
2020-10-25,"Infection of Pence Aides Raises New Questions About Trump’s Virus Response - From the beginning, the president has turned mask wearing and other preventive measures into a loyalty test. He and his aides have taken the same approach inside the White House."
2020-07-21,"As Trump Pushes Into Portland, His Campaign Ads Turn Darker - The Trump campaign is spending millions on ads that promote a dark and exaggerated portrayal of Democratic-led cities, a tactic that reinforces his “law and order’’ campaign message."
2020-06-16,"Trump Dismisses Criticism of Law Enforcement (Unless It’s His) - President Trump regularly assails law enforcement officials who investigate him or his friends as “dirty cops,” while staunchly defending the police who are accused of mistreating anyone else."
2020-10-21,"Obama Mocks Trump’s Chinese Bank Account: ‘They Would’ve Called Me Beijing Barry’ - “Can you imagine if I had a secret Chinese bank account?” the former president asked, referring to a recent Times report, as he returned to the campaign trail in Philadelphia to stump for Joe Biden."
2020-07-21,"Republicans Heap Criticism on Liz Cheney, Calling Her Disloyal to Trump - In an extraordinary intraparty airing of grievances, House Republicans lashed out at their third-ranking leader, who has sometimes broken with the president but until now escaped the ire of his closest allies."
2020-05-28,House Pulls Surveillance Measure After Trump Tells Republicans to Vote No - A compromise to reinstate expired F.B.I. powers to investigate terrorism and espionage collapsed amid bipartisan opposition.
2020-10-08,"Trump Calls His Illness ‘a Blessing From God’ - In a video on Wednesday evening, the president portrayed an unproven antibody cocktail being developed by the drug maker Regeneron as a miracle cure."
2020-01-25,"Could Trump Muzzle John Bolton? The Limits of Executive Privilege, Explained - If senators vote to subpoena testimony for the impeachment trial, the president may not be able to block or delay a willing witness."
2020-01-20,‘Constitutional Nonsense’: Trump’s Impeachment Defense Defies Legal Consensus - The president’s legal case would negate any need for witnesses. But constitutional scholars say that it’s wrong.
2020-02-25,Trump Says Harvey Weinstein Verdict ‘Sends a Very Strong Message’ - The president called the film producer’s conviction “a great victory” for women even as he focused on Mr. Weinstein’s ties to Democrats.
2020-09-18,"Biden, Facing Voters in a 2020 Rarity, Attacks Trump From a Battleground State - At a town hall event near Scranton, Pa., the Democratic nominee played up his local roots as he sought to connect with voters after many months off the campaign trail during the pandemic."
2020-08-23,"After Another Week of Setbacks, Trump Looks to Change the Story Line - The president heads into the Republican National Convention after a string of bad news, including the arrest of a former top aide and a damning reminder of Russia’s interference in the last election."
2020-06-05,"D.C.’s Mayor Fights for Control of Her City at Trump’s Front Door - Amid tensions with the president over his deployment of federal officers during protests, Washington’s mayor had “Black Lives Matter” painted near the White House in an unmistakable assertion of control."
2020-10-16,"Trump is said to have been warned that Giuliani was conveying Russian disinformation. - President Trump is said to have been warned that his personal lawyer, Rudolph Giuliani, was conveying Russian disinformation aimed at undermining Joe Biden’s presidential bid."
2020-01-16,"Senate Opens Trump Impeachment Trial as New Ukraine Revelations Emerge - The chief justice was sworn in as the presiding officer and senators swore to do “impartial justice,” as the Senate opened only the third presidential impeachment trial in U.S. history."
2020-10-08,"Pence, Peerless Trump Defender, Confronts His Limits - During an orderly debate, the vice president deflected criticism of the Trump administration’s pandemic response, something Kamala Harris said “clearly” hasn’t worked."
2020-08-28,"Trump Stomps on the Rules, but the Pandemic Isn’t as Easily Trampled - “We’re here and they’re not.” The president shows that he didn’t need a party in a big arena when the White House lawn was available."
2020-04-03,"Trump Promotes Oil Deal That May Not Exist - The president’s optimism for a deal between Saudi Arabia and Russia to reduce production and a Saudi call for talks send crude prices skyrocketing, but Moscow showed little enthusiasm."
2020-01-06,"Fox Host’s ‘America First’ Shift Makes an Exception for Trump’s Iran Strike - The transformation of Pete Hegseth — an Ivy League-educated, decorated Army platoon leader — is a symbol of the Republican Party in the Trump era."
2020-05-13,"In Bid for Party Unity, Biden Moves Beyond Restoring the Pre-Trump Era - Trying to win over progressives and aware that the coronavirus crisis is upending the political landscape, Joe Biden is increasingly using the language of systemic disruption."
2020-08-03,Trump Puts Pentagon in Political Crossfire With Tata Appointment - The president sidestepped Congress when it became clear that his nominee for a top Defense Department position would not win Senate approval.
2020-10-15,"Could Trump still spread the coronavirus? Probably not, experts say. - When President Trump makes his appearance on Thursday night on NBC News, he is expected to speak, probably maskless, with the moderator, Savannah Guthrie, and the audience sitting at least 12 feet away. But he is unlikely to transmit the coronavirus to any of those people, multiple experts said."
2020-04-11,"He Could Have Seen What Was Coming: Behind Trump’s Failure on the Virus - An examination reveals the president was warned about the potential for a pandemic but that internal divisions, lack of planning and his faith in his own instincts led to a halting response."
2020-10-16,"$421 Million in Debt: Trump Calls It ‘a Peanut,’ but Challenges Lie Ahead - The president on Thursday played down big loans he guaranteed for his struggling businesses. But much of that debt is soon to come due in the midst of declining revenue and an I.R.S. audit that could cost him over $100 million."
2020-02-22,"Same Goal, Different Playbook: Why Russia Would Support Trump and Sanders - Vladimir Putin is eager both to take the sheen off U.S. democracy and for a counterpart who is less likely to challenge his territorial and nuclear ambitions."
2020-10-29,What Trump’s disrespectful treatment of Martha McSally says about his own struggles. - President Trump’s dismissive and disrespectful treatment of his nominal political ally Senator Martha McSally in Arizona on Wednesday was cast by local media as a humiliating coda to her difficult campaign.
2020-10-30,"Daily schedules: Trump and Biden in Minnesota and Wisconsin, Harris in Texas, Pence in Arizona. - There are four days until Election Day. Here are the schedules of the presidential and vice-presidential candidates for Friday, Oct. 30. All times are Eastern time."
2020-06-06,"How Trump’s Demands for a Full House in Charlotte Derailed a Convention - After a high-stakes and public feud with Democratic officials in a state he won four years ago, Mr. Trump and the Republican officials are moving to largely shift convention proceedings to another state."
2020-04-02,"From Afar, Congress Moves to Oversee Trump Coronavirus Response - Speaker Nancy Pelosi announced she would move to form a special committee to scrutinize the Trump administration’s response, including how more than $2 trillion in federal relief money is being spent."
2020-07-24,"‘Mugged by Reality,’ Trump Finds Denial Won’t Stop the Pandemic - A president who once claimed that “the worst days of the pandemic are behind us” now acknowledges that it has surged through much of the country and will “get worse before it gets better.”"
2020-06-20,"Waiting for Trump: Hats, Flags, Little Fear of the Virus - Supporters waiting to attend President Trump’s return to the campaign trail displayed their loyalty to him, though there were empty seats as the program started."
2020-05-07,Trump Vetoes Measure Demanding Congressional Approval for Iran Conflict - The president said the resolution was an “insulting” move to limit his powers as commander in chief.
2020-09-29,"Biden and Trump Will Debate Six Main Issues. Here’s Where They Stand. - The long-anticipated first debate will cover issues like the coronavirus, social unrest and the Supreme Court, offering each candidate the chance to defend his record and attack his opponent’s."
2020-03-17,"‘Go Big’ on Coronavirus Stimulus, Trump Says, Pitching Checks for Americans - Treasury Secretary Steven Mnuchin made the case to Republican senators on Tuesday for a $1 trillion plan, including $250 billion for direct checks to Americans by the end of April."
2020-04-06,"Biden and Trump Speak About Coronavirus - In a rare direct conversation between the two likely presidential opponents, the two men discussed ways of fighting the pandemic. The good vibes did not last long."
2020-02-20,"President Declares the Winner of the Democratic Debate: Donald Trump - Exuberant over the candidates’ performances, he continued his tour through the West."
2020-10-17,"‘Please Like Me,’ Trump Begged. For Many Women, It’s Way Too Late. - The white suburban voters the president needs to carve a path to victory have turned away from him, for deeply personal reasons."
2020-05-25,"Trump Threatens to Pull Republican National Convention From North Carolina - The president, who has wondered aloud to aides why the convention can’t be held in Florida, said North Carolina’s governor needed to “guarantee” that the event could be held in August."
2020-05-29,"‘Looting’ Comment From Trump Dates Back to Racial Unrest of the 1960s - The phrase the president tweeted, “When the looting starts, the shooting starts,” was used by a Miami police chief widely condemned by civil rights groups."
2020-09-19,"Trump Declares He Is Now ‘the Best Thing That Ever Happened’ to Puerto Rico - In announcing long-awaited aid for the storm-ravaged island, President Trump seemed to have his eye partly on the Puerto Ricans who now make up an increasingly critical voting bloc in Florida."
2020-04-14,"Trump Falsely Claims ‘Ultimate Authority’ to Override States’ Virus Measures - Constitutional experts, government agencies and Republican governors all say otherwise."
2020-10-16,"Fearing a ‘Blood Bath,’ Republican Senators Begin to Edge Away From Trump - The statements offer an answer to the question of when Republicans might begin to repudiate the president after years of embracing him: the moment they believed he threatened their own political survival."
2020-10-16,"A Regulatory Rush by Federal Agencies to Secure Trump’s Legacy - With the president’s re-election in doubt, cabinet departments are scrambling to finish dozens of new rules affecting millions of Americans."
2020-09-13,Minnesota Seemed Ripe for a Trump Breakout. It Has Not Arrived. - Minnesota was a near miss for Donald Trump in 2016. But new polling shows him well behind where he finished four years ago in a state he views as a prime pickup opportunity.
2020-09-28,"A Biden campaign video shows how small Trump’s $750 tax bill is, compared with what average workers pay. - Not long after The New York Times published an investigation into President Trump’s long-sought tax returns, the campaign of Joseph R. Biden Jr. turned one of its most revealing findings — that Mr. Trump paid only $750 in federal income taxes the year he won the presidency — into a 30-second video comparing that tax bill to those paid by American workers."
2020-05-03,"Trump Says U.S. Death Toll Could Reach 100,000 - Defending his response to the pandemic, the president told a Fox News town hall that initial intelligence briefings suggested the outbreak was “not a big deal.”"
2020-04-19,"For Charlie Kirk, Conservative Activist, the Virus Is a Cudgel - Mixing, matching and twisting facts about the coronavirus online, Mr. Kirk has created a template for a new kind of political agitator."
2020-10-23,"Trump Tries One Last Debate Trick: Be Less Like Himself - If voters reject him next month, this will be the chief reason: The 2020 campaign is different, and Donald Trump is not."
2020-04-13,"Fauci Defends Trump, Who Says He Has No Plans to Dismiss Him - The president had reposted a message on Twitter on Sunday calling for Dr. Fauci’s firing."
2020-01-25,Tape Made Public of Trump Discussing Ukraine With Donors - The recording from a dinner in 2018 showed that the president spent an hour with two key players in the Ukraine pressure campaign. He has repeatedly said he does not know them.
2020-05-05,"Trump’s Inspector General Pick Vows Independence From the White House - Brian D. Miller, the White House lawyer tapped to oversee the Treasury Department’s $500 billion bailout, said he would not be influenced by political pressure."
2020-10-16,"Trump Said to Be Warned That Giuliani Was Conveying Russian Disinformation - President Trump shrugged off the warning from the intelligence agencies, officials said."
2020-01-24,What to Watch For in Trump’s Impeachment Trial on Friday - The conclusion of the House managers’ formal arguments and a look at how long the trial could go.
2020-03-27,"Can Trump Break a 50 Percent Approval Rating? - As the coronavirus rages, Americans’ views of President Trump have risen slightly to reach record highs, polls show. But he remains polarizing."
2020-08-01,"Alienated by Trump, Suburban Voters Sour on G.O.P. in Battle for the House - House Republicans are on the defensive in suburban strongholds as voters reject President Trump’s handling of the coronavirus."
2020-02-25,"Among Those Pressing Trump to Weed Out Disloyalty: Clarence Thomas’s Wife - A group led by Ginni Thomas has targeted officials in the administration, and lobbied for its own preferred choices. As the president’s distrust in those serving him has grown, so has its sway."
2020-05-02,"Trump Moves to Replace Watchdog Who Identified Critical Medical Shortages - The president announced the nomination of an inspector general for the Department of Health and Human Services, who, if confirmed, would replace an acting official whose report embarrassed Mr. Trump."
2020-10-23,"As Governor Resists Mask Mandate, Iowans Sour on the G.O.P. - Gov. Kim Reynolds has adopted President Trump’s defiant attitude toward public health guidance on the coronavirus. But while she isn’t on the ballot, her leadership may be dragging down Republicans who are."
2020-04-21,Joe Biden Starts General Election Nearly $187 Million Behind Trump - New fund-raising figures show the depth of the financial hole in which Mr. Biden finds himself against a president and Republican Party that have built up a huge war chest.
2020-09-30,"Of course, the debate was always going to be about Trump. - President Trump did for the Tuesday debate what he has done for the political life of the country in his four years: supply as much rampaging volume, custom-busting obtrusion and outright inaccuracy as necessary to impose his will on the proceedings."
2020-09-29,"Barrett told senators that Trump offered her the nomination much sooner than was previously known. - By almost any standard, the race to fill the Supreme Court seat vacated by the death of Justice Ruth Bader Ginsburg is playing out hastily. But a new account by Judge Amy Coney Barrett, President Trump’s nominee, suggests it has been moving even faster than was publicly known."
2020-09-01,"Trump’s False and Misleading Statements About Protests and Violence - The president has wrongly claimed credit for sending in the National Guard. He has also made misleading assertions in attacking his Democratic rival, Joseph R. Biden Jr."
2020-09-30,"Takeaways on Trump, Voter Fraud and the Election - A New York Times Magazine investigation finds that misleading and false claims about widespread voter fraud are part of a long disinformation effort that the president has taken to new extremes."
2020-02-19,"Trump Takes Up Call for Barr to ‘Clean House’ at Justice Dept. - With a series of retweets, President Trump kept up attacks on federal law enforcement agencies, despite pleas from the attorney general."
2020-04-07,"Trump Ousts Pandemic Spending Watchdog Known for Independence - The official had been leading the office of the inspector general for the Pentagon. In removing him from that role, the president stripped him of his pandemic relief oversight duties as well."
2020-06-21,"Trump Seeks a Cultural Safe Space Amid a Deadly Pandemic - In his first rally since the global coronavirus pandemic suspended the campaign trail, President Trump played the hits."
2020-06-18,Setback on Immigration Policy Goal Leaves Trump Fuming Over Makeup of Courts - The Supreme Court has given President Trump a new opening to rally his right-wing base by arguing that he needs another four years to stack the courts with conservative jurists.
2020-08-27,"In Michigan’s Upper Peninsula, cracks emerge in a pro-Trump wall. - ST. IGNACE, Mich. — Michigan’s Upper Peninsula is known for many things: its enviable location, nestled among three of the five Great Lakes — Huron, Superior and Michigan; hundreds of waterfalls and vast expanses of lush forests; and the pasty, a dough pocket filled with meat, potatoes and vegetables that served as a portable meal for copper and iron miners."
2020-01-17,"Trump Legal Team Adds Starr and Dershowitz for Senate Trial - Ken Starr and a third lawyer named to the team, Robert Ray, were independent counsels who investigated President Bill Clinton."
2020-10-27,"In Swearing In Barrett, Trump Defiantly Mimics ‘Superspreader’ Rose Garden Ceremony - Amy Coney Barrett was confirmed as the next Supreme Court justice only eight days before a presidential election."
2020-07-10,"An Unexpected Struggle for Trump: Defining an Elusive Biden - With only six weeks to the Republican National Convention, President Trump has yet to find a framework for attacking his opponent."
2020-03-19,"With Intelligence Nominee, Trump Ensures an Ally Will Have the Post - By nominating John Ratcliffe for director of national intelligence, President Trump gave the Senate a choice: Accept a Trump stalwart or stick with the acting stalwart."
2020-01-10,"Army Denies Request by Soldier Pardoned by Trump, Setting Up Showdown - Maj. Mathew L. Golsteyn, once charged with murder, had asked that the Army restore his Special Forces tab, which denotes membership in the elite Green Berets force."
2020-04-12,Trump and Allies Push Toward Reopening Economy. But Governors Urge Caution. - Officials still in the thick of the coronavirus pandemic on Sunday voiced fears that relaxing protective measures too early could cause the virus to surge once again.
2020-10-31,Final Weekend Campaigning Reflects Both Traditional Barnstorming and 2020 Chaos - The candidates visited two of the key “Blue Wall” states Mr. Trump won in 2016.
2020-07-01,Biden Says Trump ‘Waved the White Flag’ - The Democratic challenger goes on offense over the coronavirus: This is your morning tip sheet.
2020-08-20,"The Republican embrace of QAnon goes far beyond Trump. - Late last month, as the Texas Republican Party was shifting into campaign mode, it unveiled a new slogan, lifting a rallying cry straight from a once-unthinkable source: the internet-driven conspiracy theory known as QAnon."
2020-09-24,Trump Booed as He Pays Last Respects to Justice Ruth Bader Ginsburg - The president was within shouting distance of angry protesters who chanted “Vote him out!” and “Honor her wish!”
